"";"router_id";"vel"
"1";"0648078a-9d45-4577-af14-12b49e8f017b";7,57699925074925
"2";"07190dec-be71-44a2-8d64-c24fb51ebc7b";6,33432061068702
"3";"0b91ef8c-3b4f-4a39-b3a3-9683c6fd7832";9,09235757575758
"4";"3d9490f4-fb08-4c4c-80ec-ca744a6d9ab4";5,251275
"5";"4deed344-b28a-4ecb-818e-252e4fc70a97";8,61753474011261
"6";"8a734674-e451-4fe1-8b50-3b3b46e334a1";6,85232575891541
"7";"8a823f01-771f-420e-8971-928cba314a24";5,77135096153846
"8";"a8c8525e-cfcf-416f-88dd-bf1efc79df00";7,7530153050778
"9";"b42c687a-0dc2-49d1-9d6e-0d9e514d29bf";4,89605071183901
"10";"cdcab165-cc3a-460f-ae99-024216190ab1";4,66046405228758
